Row,Train Error,Validation Error
0,1727937.0,2467240.0
1,1906426.5,1757823.0
2,1745963.1,1200525.5
3,1671925.1,1483497.6
4,1788001.9,1125259.9
5,1679143.2,1507643.1
6,1680741.8,2116927.2
7,1500097.1,1506252.0
8,1606870.0,1026403.0
9,1493368.9,1267447.2
10,1424983.6,959918.06
11,1489423.9,1285256.1
12,1377869.1,1803869.0
13,1364174.8,1281400.8
14,1290291.9,870866.7
15,1190308.9,1074319.1
16,1242497.9,811940.2
17,1173870.4,1086222.9
18,1149085.0,1523899.5
19,1053601.4,1080539.5
20,1077785.1,731919.25
21,996873.06,901814.0
22,1003568.3,679932.6
23,1014759.06,908675.3
24,1051602.4,1273935.5
25,938018.7,901252.94
26,894532.4,608104.75
27,865898.4,747997.7
28,860563.3,562297.6
29,839801.4,750557.44
30,766599.44,1051558.1
31,756894.6,741782.0
32,776576.1,498085.6
33,710872.5,611543.1
34,733731.5,458207.47
35,719779.06,610595.75
36,659823.56,854518.75
37,638676.2,600797.8
38,603973.8,401204.3
39,585525.7,491554.78
40,566265.8,366680.9
41,528078.6,487656.62
42,560306.7,681677.6
43,504632.75,477422.66
44,469524.9,316660.47
45,500796.06,386833.47
46,437849.62,287132.06
47,409838.53,380981.5
48,404992.38,531840.9
49,364039.2,370682.28
50,348352.16,243804.64
51,341060.47,296832.97
52,311034.94,218950.56
53,321753.9,289729.28
54,296951.9,403829.03
55,285540.28,279724.47
56,288317.06,182039.03
57,256709.6,220738.58
58,249973.97,161560.05
59,229524.9,213106.0
60,226283.77,296443.97
61,204597.53,203853.67
62,192769.7,130897.4
63,216789.1,157950.02
64,186459.16,114487.12
65,174912.16,150353.39
66,148478.22,208768.6
67,140002.88,142248.69
68,138345.0,89742.01
69,135517.02,107608.75
70,131326.28,76986.97
71,108861.0,100617.92
72,111103.086,139489.77
73,98527.88,93883.61
74,92475.68,57836.055
75,82394.98,68798.88
76,75862.59,48382.566
77,77193.25,62861.395
78,66654.664,87061.39
79,58986.2,57691.574
80,56237.953,34348.773
81,44445.15,40454.2
82,43092.74,27793.71
83,42881.91,35861.875
84,37880.7,49696.055
85,31921.893,32250.693
86,34176.215,18276.273
87,26846.617,21230.22
88,24523.793,14092.9
89,20804.176,18051.303
90,18123.375,25174.844
91,14851.557,15888.623
92,14091.807,8326.387
93,12982.521,9497.304
94,10813.012,5994.629
95,9314.252,7632.4233
96,7419.422,10875.027
97,6581.2295,6649.921
98,6031.119,3048.1858
99,4837.255,3379.5881
100,4003.547,1987.3917
101,3676.5176,2526.14
102,2863.849,3829.3218
103,1952.9471,2300.8735
104,1690.705,846.96643
105,1141.9963,877.68866
106,1151.0422,496.39816
107,900.32623,615.21606
108,687.39575,1089.727
109,611.4279,720.8879
110,504.77292,218.38852
111,370.20288,175.18568
112,336.66855,131.56248
113,241.58786,132.79228
114,215.5695,291.0187
115,191.70471,247.53596
116,153.08119,93.91191
117,170.24542,54.97857
118,136.00172,69.55389
119,102.445854,54.067284
120,82.26807,107.51161
121,85.175,107.33334
122,80.40202,65.114174
123,68.67476,45.663837
124,61.909145,54.995827
125,60.579388,46.446457
126,56.286667,66.91037
127,59.43806,65.405334
128,56.28147,53.839355
129,56.401394,45.809708
130,55.08071,48.93442
131,58.38447,46.43916
132,50.488235,56.316654
133,48.079693,52.668957
134,52.51185,48.662304
135,47.984932,45.76135
136,49.06317,46.04297
137,49.314774,46.392776
138,48.287544,52.796127
139,50.235317,48.280807
140,48.990902,45.972305
141,48.85523,45.712482
142,48.69485,44.506603
143,48.139343,46.343937
