Row,Train Error,Validation Error
0,15397.32,3746.934
1,13932.378,18234.05
2,15601.719,18922.13
3,14460.84,11919.427
4,13674.443,18454.51
5,11989.3,8526.862
6,12847.002,3114.51
7,11523.232,14847.514
8,11352.355,16091.318
9,12156.663,8597.213
10,8606.01,15487.08
11,10280.929,7104.23
12,9087.911,2560.2712
13,10713.538,12772.693
14,8428.878,13520.18
15,8478.495,7874.638
16,8706.321,12868.656
17,7878.3135,5853.048
18,6806.0913,2076.2964
19,9181.095,10793.33
20,7093.1084,11105.947
21,8334.63,8034.469
22,7868.435,10564.282
23,7052.159,4757.435
24,6560.164,1655.8995
25,6581.7427,8694.95
26,5705.043,8939.265
27,6371.8516,5472.68
28,5800.4087,8541.827
29,5867.0537,3801.7942
30,5849.6436,1293.202
31,3922.9646,6746.6143
32,5537.1133,7217.575
33,4178.0825,3700.3938
34,4625.399,6783.9775
35,4123.1123,2975.697
36,3615.5225,984.2
37,4756.7617,5465.402
38,3788.5884,5695.325
39,4166.8936,3180.1711
40,3391.3188,5268.888
41,3879.9268,2271.791
42,3869.9292,725.27435
43,2695.965,4290.2515
44,2627.4,4339.828
45,2705.7068,3029.13
46,2673.411,3984.61
47,2769.3577,1680.4297
48,2658.39,512.95624
49,2649.188,3166.2258
50,2476.9094,3190.819
51,1863.6964,1838.467
52,2039.5056,2914.8818
53,2002.0181,1196.1996
54,1572.5511,344.31458
55,1718.8284,2212.652
56,1462.3938,2298.1362
57,1519.6923,1074.1366
58,1258.4485,2048.3274
59,1144.3413,811.4592
60,1260.1364,216.07143
61,1213.2573,1568.8838
62,905.17706,1576.3021
63,940.0065,798.497
64,897.75946,1368.9496
65,769.4791,518.6819
66,842.84393,124.716644
67,603.03656,1045.1821
68,761.36633,1016.1287
69,600.7438,652.41437
70,524.8298,861.0302
71,483.92282,308.42676
72,514.3197,65.92168
73,412.28534,636.7722
74,393.3132,612.6952
75,341.15823,304.4175
76,354.17783,504.5905
77,401.07626,170.2061
78,236.85277,34.04634
79,244.96666,357.70135
80,229.87312,345.4731
81,197.61386,130.67851
82,185.54181,273.40775
83,163.8987,88.53883
84,155.20264,20.554651
85,129.46054,192.56526
86,126.92207,181.16875
87,122.29494,78.1165
88,91.48545,139.26974
89,79.900246,46.77631
90,79.72845,16.93235
91,70.09432,96.0078
92,64.048515,91.513824
93,71.14583,56.532696
94,42.258156,70.27063
95,47.553223,28.745255
96,43.567627,16.679142
97,42.293346,48.87827
98,33.66622,48.678944
99,36.432026,29.338747
100,34.123966,39.846687
101,29.844133,22.702387
102,27.600351,16.64849
103,29.036253,29.545668
104,27.234417,32.001217
105,25.498074,22.460066
106,23.970928,28.800362
107,22.629318,21.345278
108,23.169199,16.618391
109,23.571787,23.841833
110,21.127943,26.634483
111,22.000713,22.459412
112,21.779408,25.550869
113,20.670427,21.21263
114,21.537554,16.588587
115,20.765501,22.610004
116,20.856026,24.796253
117,20.909666,23.558535
118,20.974749,24.834078
119,21.132265,21.180912
120,21.01619,16.559004
121,21.500296,22.076057
122,21.06589,23.926096
123,20.617174,22.512135
124,20.928936,24.736889
125,20.808626,21.151148
126,21.093409,16.529537
127,20.963913,21.475569
128,21.282852,24.17256
129,20.882824,21.697891
130,19.863113,24.699236
131,20.611195,21.121532
132,21.426937,16.50008
133,20.84321,21.8698
134,21.70418,24.437916
135,20.714983,22.188164
136,20.89577,24.66811
137,20.77015,21.091867
138,20.98207,16.47054
139,20.734554,22.21357
140,21.54371,24.188461
141,20.036007,23.311377
142,20.9301,24.63861
143,20.52289,21.062054
144,20.753822,16.44084
145,20.834627,21.93616
146,20.55695,23.685612
147,20.69011,22.390879
148,21.050636,24.60948
149,21.109213,21.032066
150,21.420431,16.410957
151,21.40583,21.35523
152,21.614319,24.016922
153,20.791664,21.579481
154,20.892614,24.580498
155,20.647444,21.001926
156,20.768303,16.380932
157,20.105928,21.75309
158,21.223253,24.304
159,20.563993,22.069225
