Row,Train Error,Validation Error
0,8.742886,10.766447
1,9.199157,9.6068535
2,8.821313,7.0265102
3,8.794908,7.1929092
4,9.048568,10.771176
5,8.981848,8.818807
6,9.065625,7.672931
7,8.995264,10.493222
8,8.631595,10.307083
9,9.278537,8.566283
10,8.770299,8.436738
11,8.941383,10.0337715
12,8.966484,7.615726
13,8.988345,6.9661036
14,8.677018,9.007953
15,8.518301,9.68552
16,8.768665,6.7753353
17,8.528406,10.332553
18,8.96944,9.0901575
19,8.628369,9.144626
20,8.582552,6.9697104
21,8.752898,10.225643
22,8.897075,8.559834
23,8.8141985,7.468707
24,8.357018,7.6945257
25,8.498905,10.15784
26,8.79294,7.0622573
27,8.489686,8.610205
28,8.95136,9.814435
29,8.560388,9.697779
30,8.598705,7.1508675
31,8.412284,10.4484005
32,8.775171,9.192747
33,8.803298,6.684435
34,8.420215,6.766703
35,8.638208,10.455801
36,8.182913,8.403702
37,8.270522,7.2858324
38,8.967624,10.328963
39,8.314796,9.930508
40,8.632071,8.16256
41,8.56535,8.082973
42,8.608774,9.656175
43,8.603512,7.7246633
44,8.875689,6.5442863
45,8.74912,8.667939
46,8.120108,9.314209
47,8.257758,6.362647
48,8.567894,9.162964
49,8.063014,8.776484
50,8.184005,8.770556
51,8.321767,6.5774226
52,7.7830787,9.8792925
53,8.67756,8.604964
54,8.483099,7.0078907
55,8.487596,7.3333087
56,8.762341,9.810373
57,8.06543,6.6791234
58,8.72287,7.567871
59,8.567019,9.5100565
60,8.453566,9.342443
61,8.327144,6.7848706
62,8.38897,10.128027
63,8.311997,9.18463
64,8.36919,6.415122
65,8.330773,6.3987036
66,8.268702,10.129467
67,8.204691,8.056311
68,8.356692,6.398524
69,8.077392,10.033986
70,8.58867,9.584426
71,8.579737,7.821985
72,8.269066,7.720064
73,8.1766205,9.586036
74,8.171985,7.4744277
75,7.5862,6.2044516
76,8.299458,8.307758
77,8.044559,8.959479
78,7.984074,6.146141
79,8.104907,8.657757
80,8.051793,7.979059
81,7.9774985,8.404011
82,7.692688,6.23413
83,8.479142,9.75874
84,7.7414618,8.306207
85,7.908418,7.3529596
86,7.9004583,6.9783487
87,7.8303404,9.441476
88,8.009856,6.927495
89,8.142029,7.092041
90,8.406379,8.82243
91,8.073815,8.963975
92,8.050345,6.4780035
93,7.400614,9.751751
94,8.081343,8.851966
95,7.7208433,5.8854246
96,7.630819,6.0723596
97,8.183697,9.740062
98,7.363252,7.6952214
99,8.034819,5.993225
100,7.81933,9.408469
101,7.530936,9.183966
102,8.2926445,7.463137
103,8.008819,7.3238745
104,7.96252,9.216914
105,7.3450885,6.566488
106,7.209308,5.9097557
107,7.6415763,7.893632
108,7.8202996,8.542914
109,7.560687,5.952757
110,7.990407,9.21036
111,8.21291,7.5631585
112,7.5645685,7.969039
113,7.8195705,5.9226727
114,7.6042457,9.355947
115,7.56907,7.4146743
116,7.7233205,6.9938493
117,7.31911,6.6468906
118,7.705108,8.98457
119,7.7604885,6.6815476
120,7.570887,7.4469824
121,7.0707684,8.369587
122,7.301586,8.481899
123,7.0728645,6.1804166
124,7.3179665,9.269711
125,7.3365626,7.950679
126,7.22215,5.5899644
127,7.907954,5.769774
128,7.5413313,9.241186
129,7.3818097,7.212276
130,7.8121133,6.271193
131,7.602545,8.900534
132,6.8574724,8.678327
133,7.104606,6.9783235
134,7.6172786,6.9676776
135,7.60587,8.358748
136,7.492405,6.1990767
137,7.1954665,5.6187077
138,7.280978,7.490397
139,7.3645263,7.9935627
140,7.028189,5.421205
141,6.9576254,8.664371
142,7.331573,7.3732553
143,6.943304,7.415729
144,6.9957633,5.627213
145,7.358078,8.533443
146,7.2804613,6.842147
147,7.0707145,6.137572
148,7.138414,6.3461084
149,7.35382,8.407482
150,7.245542,5.6962047
151,7.0340447,7.1064324
152,6.8769693,8.065448
153,7.162813,7.886006
154,6.7635117,5.7390656
155,6.97861,8.675664
156,7.1229224,7.3584027
157,6.9106903,5.388318
158,6.564012,5.482431
159,7.236273,8.6484585
160,6.5213475,6.623939
161,6.8633814,5.982021
162,7.065699,8.5077
163,6.692933,8.110243
164,6.981921,6.419673
165,6.9571466,6.673757
166,7.0749774,7.802733
167,6.754759,6.071823
168,6.5772004,5.250826
169,7.0373096,7.1863785
170,6.696552,7.437679
171,6.5216475,5.1460843
172,7.11508,7.553605
173,6.6233196,6.9225707
174,7.12778,6.9124537
175,6.5504265,5.3495803
176,6.5056057,8.053668
177,6.8677635,6.7450805
178,7.0264826,5.7757854
179,6.7607656,6.073103
180,6.8747234,7.957145
181,6.7057757,5.298427
182,6.653508,6.2668
183,6.5234723,7.6895394
184,6.828317,7.463592
185,6.506288,5.361041
186,6.594851,8.2891
187,6.4826646,7.317347
188,6.6029224,5.12688
189,6.79061,5.215085
190,6.387763,8.295454
191,6.218399,6.2608695
192,6.1551533,5.221106
193,6.686861,8.19878
194,5.9249797,7.775079
195,6.7972217,6.084089
196,6.119068,6.4157896
197,6.4486246,7.771023
198,6.201049,5.8139052
199,6.3900332,4.959026
200,6.4694433,6.9334083
201,6.278331,7.1225767
202,6.473391,4.9094553
203,6.47473,7.195708
204,6.53239,6.21509
205,6.5295453,6.619548
206,6.682652,5.0907497
207,6.461649,8.002266
208,6.361174,6.5259924
209,6.536955,6.1580186
210,6.4997125,5.824672
211,6.68719,7.6807065
212,6.8329206,5.402519
213,6.555874,5.9283047
214,6.1335034,7.0792913
215,6.5933485,7.1900473
216,6.4286985,5.0963483
217,6.3490834,8.039409
218,6.127734,7.105065
219,6.1913176,4.7863407
220,6.056076,4.9689775
221,6.334729,8.052509
222,6.213978,6.002636
223,6.2940364,4.8983636
224,6.2890363,7.714821
225,6.5662313,7.519624
226,6.373204,5.8337493
227,6.3284245,6.1792617
228,6.388293,7.5635085
229,6.439486,5.1378236
230,6.392864,4.7143884
231,6.3566556,6.701713
232,6.4229584,6.8721175
233,6.23031,4.730599
234,6.5277343,7.713333
235,6.4605184,5.972111
236,6.041512,6.375865
237,6.234375,4.8554153
238,6.3241487,7.800533
239,6.3005605,5.863199
240,6.3363996,5.930579
241,6.0046644,5.5994563
242,6.1238647,7.4404216
243,6.4350667,5.2362165
244,5.9818864,6.3695545
245,6.229732,6.84174
246,6.145433,6.95251
247,6.084167,4.8681226
248,5.9520507,7.8168
249,6.3224177,6.4676695
250,6.1908336,4.559485
251,5.802664,4.747098
252,6.2519474,7.8336053
253,6.2430153,5.7776265
254,6.043026,5.2596188
255,5.995895,7.4872565
256,5.8110137,7.2917514
257,5.9038377,5.615704
258,6.001779,5.962644
259,6.020218,7.000812
260,6.1136475,4.920485
261,5.9251094,4.4986196
262,6.136378,6.48843
263,6.0189357,6.6504726
264,6.256244,4.435812
265,5.7820115,7.5009003
266,5.7864866,6.1055694
267,6.281243,6.161377
268,6.0900235,4.6426544
269,5.8012915,7.3143325
270,5.985356,5.6556997
271,5.62878,5.1733108
272,6.040695,5.3930883
273,6.1973433,7.2236466
274,6.196945,4.5906577
275,5.942778,6.163343
276,5.873778,6.9236245
277,6.142897,6.7407193
278,6.0857463,4.666102
279,6.034677,7.611266
280,6.2464,6.263139
281,5.798723,4.368743
282,5.9164524,4.544497
283,6.231877,7.631424
284,6.016028,5.5802207
285,6.178694,5.059217
286,6.2015524,7.4958186
287,5.9010863,7.085653
288,5.8733006,5.4241214
289,5.837233,5.7625995
290,5.60666,6.7982807
291,6.2435327,5.0976243
292,5.686696,4.304318
293,6.144786,6.290048
294,5.9197273,6.453687
295,5.780421,4.240193
296,5.938973,6.6615644
297,6.1132383,5.972366
298,5.8605313,5.972504
299,5.7270603,4.447345
300,6.0217586,7.1174283
301,5.878288,5.829064
302,5.9635773,4.891816
303,6.037276,5.2015877
304,6.2620606,7.0281086
305,5.860236,4.4085197
306,5.6320767,5.3993826
