Row,Train Error,Validation Error
0,30.136612,30.731667
1,30.078743,30.268282
2,29.903868,30.082735
3,30.136843,29.853575
4,30.013367,30.737158
5,30.138935,30.544037
6,30.177242,30.401182
7,29.992601,29.083014
8,29.994257,29.259443
9,29.873951,29.410736
10,29.894081,29.84791
11,30.11943,29.45774
12,29.888802,29.209476
13,29.912676,28.95869
14,30.08357,30.782415
15,30.173857,30.718252
16,29.863434,30.620667
17,29.890059,29.855797
18,29.986319,30.22899
19,30.072027,30.516087
20,30.08808,30.358181
21,29.869942,30.059141
22,29.91621,29.882841
23,29.941744,30.641794
24,30.022566,30.558424
25,29.8989,30.383158
26,29.914656,30.28265
27,29.895283,29.04236
28,29.75603,29.234577
29,29.823698,29.384802
30,30.161003,29.65439
31,29.967058,29.247711
32,30.195774,29.024529
33,29.819336,30.702913
34,29.967005,30.658743
35,29.871042,30.594154
36,30.01748,30.525621
37,30.11352,29.880518
38,30.020922,30.214167
39,29.816448,30.472773
40,29.893236,30.187103
41,29.729437,29.943083
42,30.128542,29.721718
43,29.933949,30.535091
44,29.802519,30.415247
45,29.932571,30.25318
46,29.729128,28.904602
47,29.941029,29.038366
48,29.781176,29.151054
49,29.64877,29.2734
50,29.857597,29.44985
51,29.837809,29.141556
52,29.900124,28.82222
53,30.166126,30.63203
54,29.841309,30.555346
55,29.990484,30.481796
56,30.108736,29.568022
57,29.756426,29.954382
58,29.771498,30.235014
59,29.648165,30.464098
60,29.784496,30.01966
61,29.743647,29.836565
62,29.899752,29.609735
63,29.775574,30.492708
64,29.996075,30.30203
65,29.662981,30.16034
66,29.743559,28.837587
67,29.664938,29.006563
68,29.84391,29.15694
69,29.937864,29.608204
70,29.881523,29.220007
71,29.836908,28.972597
72,29.955482,28.723715
73,29.787933,30.538454
74,29.795227,30.479088
75,29.661406,30.387304
76,29.74233,29.606615
77,29.867514,29.979908
78,29.409197,30.269674
79,29.867239,30.127722
80,29.73391,29.830137
81,30.055824,29.655058
82,29.69705,30.412148
83,29.69353,30.332603
84,29.742027,30.158503
85,29.604708,30.058699
86,29.920364,28.811546
87,29.757019,28.99913
88,29.75361,29.14817
89,29.567461,29.431953
90,29.600449,29.027971
91,29.59146,28.805775
92,29.67749,30.468643
93,29.694466,30.436485
94,29.73261,30.374617
95,29.659641,30.31016
96,29.903122,29.648321
97,29.46974,29.98375
98,29.852709,30.243587
99,29.644485,29.976036
100,29.68574,29.732357
101,29.618326,29.509296
102,29.53346,30.323675
103,29.587204,30.20778
104,29.632858,30.045677
105,29.710054,28.696505
106,29.660963,28.822071
107,29.785795,28.934942
108,29.633896,29.053434
109,29.717884,29.24515
110,29.6114,28.939384
111,29.684942,28.621595
112,29.628515,30.4183
113,29.686354,30.351446
114,29.661272,30.279922
115,29.616276,29.353424
116,29.627491,29.73989
117,29.546803,30.023165
118,29.545149,30.252005
119,29.623447,29.823483
120,29.623762,29.642796
121,29.613373,29.418167
122,29.564648,30.300491
123,29.502903,30.11222
124,29.799654,29.971529
125,29.546293,28.644493
126,29.378828,28.806185
127,29.627272,28.955645
128,29.723965,29.420483
129,29.587374,29.034239
130,29.589746,28.787663
131,29.724836,28.540678
132,29.57484,30.346478
133,29.493855,30.291807
134,29.713995,30.205761
135,29.56903,29.409212
136,29.467175,29.782598
137,29.701065,30.075062
138,29.455706,29.94892
139,29.649317,29.65278
140,29.409622,29.478958
141,29.425915,30.234163
142,29.473314,30.15841
143,29.698164,29.985445
144,29.32444,29.886381
145,29.622877,28.632353
146,29.458979,28.815306
147,29.543074,28.963207
148,29.60837,29.261139
149,29.531807,28.859892
150,29.501068,28.638746
151,29.360798,30.286058
152,29.749996,30.265985
153,29.481445,30.20683
154,29.5882,30.146484
155,29.626091,29.467903
156,29.615704,29.805214
157,29.387175,30.066341
158,29.493689,29.816868
159,29.58338,29.573597
160,29.625494,29.34886
161,29.436855,30.164251
162,29.454304,30.052284
163,29.500082,29.890257
164,29.681149,28.540554
165,29.363419,28.657942
166,29.403048,28.771055
167,29.509895,28.885736
168,29.63315,29.092695
169,29.407135,28.789545
170,29.367552,28.473333
171,29.547935,30.257006
172,29.570293,30.199974
173,29.37097,30.130522
174,29.339062,29.191334
175,29.597265,29.57796
176,29.633226,29.863935
177,29.273027,30.092562
178,29.548483,29.679955
179,29.38608,29.501705
180,29.418352,29.27927
181,29.41058,30.16099
182,29.393438,29.97515
183,29.509356,29.835533
184,29.525585,28.504244
185,29.38289,28.658741
186,29.366653,28.807318
187,29.291227,29.285683
188,29.433786,28.901426
189,29.651728,28.655684
190,29.368702,28.410606
191,29.335524,30.207584
192,29.686007,30.157608
193,29.613024,30.0773
194,29.536663,29.265078
195,29.239174,29.638567
196,29.473597,29.933678
197,29.281038,29.823334
198,29.50054,29.528639
199,29.32338,29.356064
200,29.388544,30.10943
201,29.523512,30.037474
202,29.286394,29.865704
203,29.583979,29.767357
204,29.267487,28.506573
205,29.2782,28.684986
206,29.518349,28.83177
207,29.428486,29.143726
208,29.365355,28.74519
209,29.371807,28.525064
210,29.355345,30.157167
211,29.256641,30.148964
212,29.33953,30.092524
213,29.57457,30.03622
214,29.469421,29.341291
215,29.37151,29.680397
216,29.294277,29.942812
217,29.153715,29.711132
218,29.21071,29.468248
219,29.403505,29.241907
220,29.353096,30.058336
221,29.49471,29.95026
222,29.434883,29.78827
223,29.328463,28.438044
224,29.077576,28.547543
225,29.410902,28.660912
226,29.431746,28.77194
227,29.315853,28.993708
228,29.497278,28.693073
229,29.401703,28.378431
230,29.373665,30.149508
231,29.329538,30.102032
232,29.455105,30.03459
233,29.289707,29.083246
234,29.355293,29.470032
235,29.179094,29.758638
236,29.335554,29.987148
237,29.42431,29.589746
238,29.44224,29.413868
239,29.527851,29.193565
240,29.215351,30.07472
241,29.441324,29.891191
242,29.438803,29.752598
243,29.285683,28.417309
244,29.375616,28.565052
245,29.318678,28.712845
246,29.389479,29.20394
247,29.420305,28.82156
248,29.158419,28.576637
249,29.320784,28.333372
250,29.31923,30.122145
251,29.39737,30.076544
252,29.339539,30.001575
253,29.517038,29.174883
254,29.50541,29.548534
255,29.278126,29.846186
256,29.334362,29.750216
257,29.616737,29.45687
258,29.209534,29.285465
259,29.357569,30.037169
260,29.305056,29.9686
261,29.523544,29.797901
262,29.4058,29.700233
263,29.576015,28.4334
264,29.669323,28.607826
265,29.24924,28.7537
266,29.370222,29.07795
267,29.326334,28.68183
268,29.373175,28.462605
269,29.303034,30.081469
270,29.216028,30.083588
271,29.256393,30.02944
272,29.2793,29.976614
273,29.480362,29.267706
274,29.50592,29.60849
275,29.30052,29.872103
276,29.415583,29.655104
277,29.451263,29.412539
278,29.257038,29.18485
279,29.22664,30.002028
280,29.330774,29.896996
281,29.290228,29.735058
282,29.334173,28.38432
283,29.21248,28.487598
284,29.3331,28.601221
285,29.133955,28.709505
286,29.40567,28.942434
287,29.273636,28.643627
288,29.232979,28.330105
289,29.293682,30.091934
290,29.361986,30.051311
291,29.045221,29.985235
292,29.358248,29.025326
293,29.216204,29.41237
294,29.16256,29.702877
295,29.339205,29.931347
296,29.414349,29.543743
297,29.324701,29.369324
298,29.181046,29.150267
299,29.439922,30.030872
300,29.183392,29.848639
301,29.246113,29.710524
302,29.31334,28.372698
303,29.328867,28.516666
304,29.444368,28.664135
305,29.347883,29.161879
306,29.117846,28.780384
307,29.259329,28.535736
308,29.494024,28.293287
309,29.280678,30.077988
310,29.28399,30.034369
311,29.40053,29.961817
312,29.238308,29.12869
313,29.227135,29.502602
314,29.286657,29.8014
315,29.471426,29.710855
316,29.422064,29.417955
317,29.358131,29.246899
318,28.999395,29.997894
319,29.4575,29.930319
320,29.24735,29.759909
321,29.356165,29.662363
322,29.16291,28.393581
323,29.39834,28.566963
324,29.285395,28.712807
325,29.19406,29.03987
326,29.311321,28.644348
327,29.237679,28.425247
328,29.716784,30.04139
329,29.289127,30.045553
330,29.318483,29.991777
331,29.478731,29.939577
332,29.24169,29.22835
333,29.452656,29.569408
334,29.388313,29.833445
335,29.189219,29.618118
336,29.294231,29.37556
337,29.396921,29.147806
338,29.421474,29.964838
339,29.261637,29.860085
340,29.402643,29.698174
341,29.35106,28.34713
342,29.417799,28.450176
343,29.17065,28.56397
344,29.234076,28.67238
345,29.426985,28.905287
346,29.392927,28.606537
347,29.471329,28.293282
348,29.252764,30.05485
349,29.463844,30.014404
350,29.350046,29.948294
351,29.265886,28.98853
352,29.245546,29.375713
353,29.316172,29.666353
354,29.130596,29.895033
355,29.342989,29.50655
356,29.121172,29.332207
357,29.474037,29.113298
358,29.286505,29.993708
359,29.380144,29.811518
360,29.252676,29.673447
361,29.400372,28.335588
362,29.282139,28.480059
363,29.359362,28.627728
364,29.409245,29.124723
365,29.18972,28.74321
366,29.570631,28.498646
367,29.282188,28.256266
368,29.247719,30.04131
369,29.3086,29.99748
370,29.344902,29.924932
371,29.372429,29.092382
372,29.345287,29.46648
373,29.13891,29.76532
374,28.98934,29.673653
375,29.439116,29.38086
376,29.27077,29.209877
377,29.181005,29.960943
378,29.21136,29.893116
379,29.079535,29.722836
380,29.25707,29.625383
381,29.324501,28.356836
382,29.234707,28.53059
383,29.49106,28.676767
384,29.11002,29.002695
385,29.28774,28.607279
386,29.293177,28.388178
387,29.16631,30.005377
388,29.107725,30.008858
389,29.40016,29.954931
390,29.273493,29.902689
391,29.432281,29.19223
392,29.30789,29.533346
393,29.131275,29.797546
394,29.06526,29.580967
395,29.225292,29.338526
396,29.105215,29.111074
397,29.254942,29.92785
398,29.478811,29.822952
399,29.336283,29.66127
400,29.303232,28.310041
401,29.263676,28.413685
402,29.195427,28.527617
403,29.379713,28.63647
404,29.396755,28.868269
405,29.286947,28.569456
406,29.210814,28.256462
407,29.405361,30.018517
408,29.275331,29.977777
409,29.331764,29.911583
410,29.242735,28.95235
411,29.411419,29.33975
412,29.294811,29.630444
413,29.254492,29.859264
414,29.119368,29.469551
415,29.217558,29.295313
416,29.076765,29.076536
417,29.263783,29.956814
418,29.247597,29.77464
419,29.26767,29.636627
420,29.397253,28.298756
421,29.392298,28.443796
422,29.21536,28.591654
423,29.273653,29.087852
424,29.232838,28.706327
425,29.430946,28.46182
426,28.97736,28.2195
427,29.176453,30.004932
428,29.196972,29.960886
429,29.26025,29.88832
430,29.404495,29.056332
431,29.484192,29.430729
432,29.018448,29.729511
433,29.051495,29.636755
434,29.09502,29.344036
435,29.291933,29.173124
436,29.35457,29.92429
437,29.167854,29.856205
438,29.412071,29.686052
439,29.302242,29.588673
440,29.165678,28.320377
441,29.331074,28.494469
442,29.206322,28.64104
443,29.235014,28.96582
444,29.2489,28.570501
445,29.182991,28.35139
446,29.329775,29.969633
447,29.322054,29.97244
448,29.044771,29.918383
449,29.190586,29.866087
450,29.438927,29.156467
451,29.01749,29.497475
452,29.202175,29.76188
453,29.2858,29.544115
454,29.483168,29.301758
455,29.217415,29.07461
456,29.219685,29.89115
457,29.343689,29.786116
458,29.01849,29.624628
459,29.037975,28.273216
460,29.264317,28.377468
461,29.14032,28.49153
462,29.344942,28.600824
463,29.291416,28.831524
464,29.356459,28.532673
465,29.183828,28.219921
466,29.264265,29.982487
467,29.073118,29.941433
468,29.168232,29.87516
469,29.173092,28.91649
470,29.062939,29.304033
471,29.288155,29.594805
