Row,Train Error,Validation Error
0,8.54892,8.291365
1,7.841604,8.730482
2,7.279183,7.3732567
3,6.599994,7.4706216
4,6.137958,5.878711
5,5.7594376,6.0653224
6,5.202105,5.7969737
7,4.98727,5.5431714
8,4.3695784,5.030603
9,4.080198,4.49
10,3.7303944,4.419187
11,3.4400847,3.574126
12,3.0607917,3.622627
13,2.9806194,2.8653212
14,2.6284068,2.427255
15,2.5637264,2.6040444
16,2.2278702,2.7463934
17,2.121085,1.8719934
18,1.9369409,2.2273026
19,1.9031268,1.5536412
20,1.6754199,2.0348058
21,1.5340741,1.2592777
22,1.3852133,1.4991834
23,1.2908298,1.1462971
24,1.1945778,1.2526981
25,1.1723851,1.2515929
26,1.0845213,0.96717775
27,0.9707456,0.8196738
28,0.9328717,0.9852999
29,0.88489693,0.7331628
30,0.8633983,1.0239493
31,0.8183251,0.67257464
32,0.78915477,0.6842032
33,0.7339684,0.6890094
34,0.7145747,0.6226104
35,0.6846204,0.65675056
36,0.6650638,0.61730593
37,0.64100957,0.6649973
38,0.6263653,0.5613805
39,0.6094917,0.58414006
40,0.5995291,0.55269134
41,0.5889075,0.5528032
42,0.5801761,0.5486728
43,0.57543063,0.56861883
44,0.56347257,0.539791
45,0.5528409,0.55188525
46,0.5415622,0.54963666
47,0.543797,0.52204716
48,0.5281541,0.5070586
49,0.5299359,0.54234385
50,0.5271917,0.49874136
51,0.51853484,0.5363455
52,0.51864177,0.48588014
53,0.5151501,0.53817517
54,0.5096736,0.48144755
55,0.49382862,0.51004845
56,0.49159753,0.4745816
57,0.49154255,0.46503195
58,0.48718148,0.4920578
59,0.48494202,0.4997401
60,0.4716033,0.45461944
61,0.46637085,0.48519334
62,0.46583322,0.44147745
63,0.4624409,0.47653213
64,0.45177308,0.46534428
65,0.4436449,0.4611609
66,0.4444572,0.45349467
67,0.44136363,0.45415878
68,0.43572378,0.44287327
69,0.43003926,0.44195738
70,0.42858663,0.43434286
71,0.41935226,0.43587667
72,0.41856965,0.42380688
73,0.4110872,0.42288402
74,0.4123407,0.41376388
75,0.40320674,0.4093797
76,0.3967426,0.40532207
77,0.39701208,0.39773366
78,0.39058477,0.3947902
79,0.3909547,0.39547637
80,0.38574922,0.4016125
81,0.38520065,0.37571967
82,0.37789682,0.38963225
83,0.37716168,0.36667797
84,0.36979127,0.38596377
85,0.36897138,0.35855263
86,0.364346,0.36858794
87,0.36144704,0.3550919
88,0.3572524,0.36091152
89,0.35632172,0.35985434
90,0.35347942,0.34752822
91,0.34802058,0.34491155
92,0.34693024,0.3495659
93,0.3439446,0.3366545
94,0.33944955,0.34716588
95,0.33435816,0.33393788
96,0.3324202,0.3297811
97,0.3313029,0.32520807
98,0.33132905,0.3259309
99,0.32580632,0.3208312
100,0.32152572,0.3211342
101,0.32319373,0.3211319
102,0.32153586,0.31457096
103,0.31676182,0.3110175
104,0.31567195,0.30887318
105,0.31322592,0.31038868
106,0.3080162,0.30587944
107,0.3066413,0.31090057
108,0.3035189,0.29964918
109,0.3007672,0.3093516
110,0.30020723,0.30004403
111,0.30035254,0.3017886
112,0.2938389,0.29436845
113,0.2953022,0.29510248
114,0.2919283,0.2911405
115,0.28723866,0.2910942
116,0.28699362,0.28529915
117,0.283486,0.28603378
118,0.2817239,0.28711274
119,0.28013316,0.2820438
120,0.27642274,0.28340334
121,0.27636433,0.27639633
122,0.27397746,0.27828375
123,0.27167934,0.2731629
124,0.2692475,0.27448627
125,0.26584706,0.26645926
126,0.26668662,0.26389465
127,0.26427087,0.26483628
128,0.2625073,0.26259238
129,0.25846457,0.2617748
130,0.25719634,0.25766087
131,0.25526714,0.25758642
132,0.2520002,0.25410295
133,0.24986073,0.25130096
134,0.24996346,0.24795604
135,0.24755144,0.24831232
136,0.2444427,0.24387619
137,0.2453127,0.24319547
138,0.23927592,0.24220434
139,0.23862824,0.24344113
140,0.23667666,0.23595093
141,0.23480217,0.2391243
142,0.23380287,0.2361525
143,0.2308138,0.23106135
144,0.2299393,0.22738452
145,0.22696152,0.2308257
146,0.22490346,0.22145063
147,0.22239403,0.2248319
148,0.22188777,0.2198571
149,0.21967697,0.22208434
150,0.218523,0.21254143
151,0.2144233,0.21690826
152,0.21327908,0.20967819
153,0.21039613,0.21428284
154,0.21032003,0.20904364
155,0.2069862,0.20470792
156,0.20495878,0.20238368
157,0.20266193,0.20025556
158,0.2009846,0.20062241
159,0.20057225,0.19839941
160,0.19781907,0.20438413
161,0.19621745,0.19300295
162,0.1946403,0.19697212
163,0.19284302,0.19484334
164,0.19007336,0.19693917
165,0.18942398,0.18878554
166,0.18826704,0.19109811
167,0.18684958,0.18747312
168,0.18444544,0.18767206
169,0.18214217,0.18158305
170,0.18072885,0.18258569
171,0.17941445,0.18019833
172,0.17671996,0.18067662
173,0.17457485,0.17584302
174,0.17365919,0.177395
175,0.17202267,0.17397708
176,0.17028669,0.17029688
177,0.16931547,0.1690017
178,0.16839494,0.16981566
179,0.16673274,0.1632299
180,0.16276206,0.16356646
181,0.16245809,0.16316947
182,0.1611523,0.16099371
183,0.15905865,0.15911315
184,0.15786308,0.15643331
185,0.15565348,0.1566825
186,0.15512176,0.15207294
187,0.15305494,0.1533129
188,0.15086178,0.15016288
189,0.14868765,0.15188526
190,0.14852513,0.14811023
191,0.14679992,0.14528483
192,0.1442943,0.14252605
193,0.14232919,0.14565027
194,0.14270721,0.13995677
195,0.1396777,0.14065395
196,0.13818924,0.13631389
197,0.13668722,0.1344353
198,0.1352325,0.13811897
199,0.13435827,0.13075998
200,0.13155405,0.13601764
201,0.13142307,0.12853295
202,0.12966049,0.13171697
203,0.12882663,0.12615319
204,0.12722498,0.13007045
205,0.1253085,0.12370439
206,0.123685695,0.12189939
207,0.12192805,0.12352716
208,0.12122893,0.12325363
209,0.12016665,0.11832192
210,0.11909548,0.12052889
211,0.116943896,0.115075
212,0.11521444,0.11767273
213,0.11358747,0.115083285
214,0.11268879,0.11308031
215,0.11195291,0.11315072
