Row,Train Error,Validation Error
0,61.58767,37.6695
1,34.53719,37.446995
2,21.21775,21.607168
3,11.545688,11.822782
4,6.555058,6.707367
5,4.5452533,4.732522
6,3.4511402,4.1015277
7,2.9827096,2.8536038
8,2.60912,2.2785528
9,2.2412505,2.2583458
10,2.1291828,1.8281887
11,1.8368449,1.7938383
12,1.6561649,1.7434932
13,1.4514543,1.5288705
14,1.3467456,1.2192454
15,1.1829568,1.1297417
16,1.0938067,0.9865828
17,0.98168254,0.9400222
18,0.8796102,0.9093123
19,0.77324855,0.8205929
20,0.7079921,0.68623316
21,0.62271106,0.586487
22,0.57486075,0.5437159
23,0.51552767,0.4987891
24,0.46362254,0.4808701
25,0.41633245,0.4450988
26,0.38513145,0.40144363
27,0.34351218,0.32077643
28,0.32208085,0.31918436
29,0.30069575,0.27441007
30,0.2678447,0.2578775
31,0.24975654,0.25958073
32,0.22809881,0.25973567
33,0.21420407,0.19632491
34,0.20179951,0.22945851
35,0.19297409,0.17706789
36,0.17606309,0.15365018
37,0.18954274,0.20028435
38,0.16947962,0.21318059
39,0.17563598,0.15531531
40,0.15956493,0.20499797
41,0.166417,0.14234093
42,0.16755658,0.110682726
43,0.15347287,0.187505
44,0.14842692,0.20402952
45,0.1471102,0.15704697
46,0.15179123,0.19834684
47,0.14838272,0.129506
48,0.15186381,0.09276942
49,0.15596388,0.17458206
50,0.15548728,0.19639094
51,0.13547578,0.13677368
52,0.14211491,0.18998317
53,0.14163068,0.120613545
54,0.13132732,0.08242844
55,0.14331925,0.1552992
56,0.1301628,0.18600784
57,0.13604006,0.118389666
58,0.13033545,0.17759001
59,0.1256727,0.11073003
60,0.13022548,0.07294682
61,0.12982649,0.15453316
62,0.11248378,0.1705537
63,0.1211864,0.11302508
64,0.120267905,0.16217487
65,0.11120944,0.09917669
66,0.122306645,0.06213027
67,0.10598238,0.14919043
68,0.11672607,0.15449059
69,0.1066396,0.11272162
70,0.10578278,0.14333512
71,0.10162913,0.08513341
72,0.10470988,0.04899868
73,0.09604429,0.13251694
74,0.09843557,0.13542928
75,0.08797914,0.08499171
76,0.09380577,0.11991539
77,0.100338794,0.06712816
78,0.07843899,0.034631163
79,0.08134831,0.10987493
80,0.07914729,0.10570776
81,0.073913075,0.056347255
82,0.07057115,0.09139181
83,0.06813725,0.044929236
84,0.06408511,0.026096154
85,0.05851302,0.07882826
86,0.05837625,0.07083257
87,0.056361016,0.034044597
88,0.04631759,0.05773604
89,0.04136744,0.023292359
90,0.040143624,0.03288915
91,0.038561527,0.04945234
92,0.035718415,0.0454809
93,0.040099207,0.02147551
94,0.033626303,0.03779362
95,0.03530398,0.015315504
96,0.036955077,0.032856286
97,0.03564405,0.041851502
98,0.032252368,0.039809953
99,0.030745208,0.014268988
100,0.029299222,0.031215228
101,0.032221958,0.012567691
102,0.025844011,0.02780939
103,0.030624123,0.035094216
104,0.027001234,0.031403136
105,0.02611335,0.011569775
106,0.025597556,0.025868088
107,0.026268184,0.011253928
108,0.025805958,0.023465998
109,0.022315076,0.028710492
110,0.022735745,0.02417509
111,0.02185937,0.009990584
112,0.018959425,0.021285648
113,0.019304538,0.009329731
114,0.02232262,0.019431321
115,0.019482106,0.023389516
116,0.0182241,0.02081695
117,0.017491292,0.010293547
118,0.016492456,0.017907092
119,0.01740542,0.008120895
120,0.017361596,0.016651938
121,0.01592054,0.01861025
122,0.01561525,0.018227201
123,0.014607107,0.007558735
124,0.015048832,0.014407286
125,0.012001213,0.006628363
126,0.013209781,0.012831493
127,0.012183829,0.014331379
128,0.011691642,0.014052009
129,0.01081515,0.0060160835
130,0.0107216025,0.011543101
131,0.010761664,0.00534062
132,0.009990349,0.010475642
133,0.009456415,0.010901227
134,0.008930489,0.010394074
135,0.009407089,0.0049148514
136,0.008918104,0.00918315
137,0.00861814,0.0045494977
138,0.008208395,0.008208683
139,0.006881771,0.008845142
140,0.007330807,0.0086556645
141,0.006688246,0.0047289175
142,0.006494482,0.0074291294
143,0.006384139,0.003993422
144,0.006894927,0.0060676676
145,0.0056203683,0.0068060327
146,0.005431712,0.007163671
147,0.0051124273,0.0037249578
148,0.0054285075,0.0060969917
149,0.005125876,0.0030555436
150,0.0048606666,0.0045354697
151,0.004526422,0.005096025
152,0.004298607,0.005516828
153,0.0043466412,0.0027136796
154,0.0043984465,0.004731979
155,0.003932841,0.0025654868
156,0.0041947733,0.0031660036
157,0.0039063366,0.003984635
158,0.0035952847,0.004237844
159,0.0034453352,0.0023111661
160,0.003461478,0.0038820386
161,0.0031321787,0.002118525
162,0.0029625662,0.002465804
163,0.002847449,0.0031941945
164,0.002699846,0.003438549
165,0.0025452387,0.002157029
166,0.002352632,0.0030897902
167,0.0026623937,0.0017534335
168,0.002664922,0.0020797646
169,0.002215347,0.0026180756
170,0.0025441549,0.0029852786
171,0.0018859426,0.0016283332
172,0.0019050296,0.0025833086
173,0.0019368088,0.0014191348
174,0.0020187686,0.00124776
175,0.0015848879,0.0019377304
176,0.0015807664,0.0021937827
177,0.0016795433,0.0012272545
178,0.001636769,0.0020458535
179,0.0014905757,0.0011560542
180,0.0015054874,0.00096211216
181,0.0015302093,0.0015409667
182,0.0012801883,0.0017504642
183,0.0014017514,0.0010088419
184,0.001226731,0.0015860095
185,0.0011936531,0.00094158173
186,0.0014209911,0.0008250973
187,0.0010715984,0.0012839509
188,0.0011811261,0.0013763271
189,0.0010426264,0.0008997218
190,0.0011037897,0.0013193957
191,0.00082922936,0.0007410881
192,0.0008219783,0.00060976786
193,0.00091624697,0.0010115963
194,0.001039169,0.0011190578
195,0.0009854613,0.00066368043
196,0.00080788357,0.00100104
197,0.0007807358,0.0006090323
198,0.0007567272,0.00049954385
199,0.0007864204,0.0008215464
200,0.00074098393,0.00090840936
201,0.0007304812,0.0005267692
202,0.0007200134,0.00082421827
203,0.00066111225,0.00051329425
204,0.00056927255,0.00042171785
205,0.0005465449,0.00066240324
206,0.000645861,0.00074061105
207,0.00058518874,0.00045201022
208,0.00056454056,0.0006569943
209,0.00057346525,0.00043524956
210,0.00066716084,0.00036277133
211,0.00051819,0.0005595096
212,0.0004822914,0.0006010151
213,0.00049499306,0.00041705617
214,0.00050568016,0.0005405757
215,0.00044561754,0.00039763065
216,0.0004479752,0.0003664012
217,0.00048000997,0.0004638766
218,0.0004691625,0.0005533856
219,0.0004977102,0.00034879483
220,0.00042124753,0.0004961062
221,0.00046056107,0.0003479402
222,0.00040673188,0.00033190116
223,0.00036676275,0.00043136705
224,0.00039858455,0.0004510481
225,0.00038998044,0.00030415735
226,0.00037390456,0.00041148305
227,0.0003873992,0.00031903354
228,0.000369223,0.0003048641
229,0.00037403117,0.00038511335
230,0.00036922374,0.00041712727
231,0.00037945202,0.0002932309
232,0.00036136876,0.0003783899
233,0.00034267252,0.0002867113
234,0.00033979097,0.00030258068
235,0.00037475428,0.0003559934
236,0.00035246316,0.00037762435
237,0.0003599145,0.00029561727
238,0.00033725466,0.0003514384
239,0.00031793053,0.00026590656
240,0.00030989235,0.00030813614
241,0.00033961193,0.00033763144
242,0.00032917236,0.00037430984
243,0.00033699983,0.00025802662
244,0.00033178547,0.00033732408
245,0.000342818,0.0002555324
246,0.00031932787,0.00029418507
247,0.00030138931,0.00032065794
248,0.00029955417,0.00035253126
249,0.00030722626,0.00023708046
250,0.00029016673,0.00031029392
251,0.00031578602,0.00025228114
252,0.00031886494,0.0002904915
253,0.0003050481,0.00031884626
254,0.00026516174,0.0003339994
255,0.0002931266,0.00023532644
256,0.00029305925,0.0002946204
257,0.0002846739,0.0002465438
258,0.00029695273,0.00029029322
259,0.00029119643,0.00030832985
260,0.0002992559,0.00032630606
261,0.00027920876,0.0002444437
262,0.0003134555,0.0002891689
263,0.0003134878,0.00024039102
264,0.00033415938,0.00028808287
265,0.00029982958,0.0002974768
266,0.00029194678,0.0003110451
267,0.0003184139,0.00022698664
268,0.00026724115,0.0002840262
269,0.00033277154,0.00023179877
270,0.00029562082,0.00028256688
271,0.00026306132,0.00029505967
272,0.0003032096,0.0003239615
273,0.0002826049,0.00022261913
274,0.00029579975,0.00027460576
275,0.00028929824,0.00023354955
276,0.00028473517,0.00027280257
277,0.00030521845,0.00029307554
278,0.0002384712,0.00029741993
279,0.0002758275,0.00022445877
280,0.00029443955,0.00027836277
281,0.00030764402,0.00022568491
282,0.0002943175,0.0002744137
283,0.00029582405,0.00028266868
284,0.00030584203,0.00031107373
285,0.00029473886,0.00022311698
286,0.00027498382,0.00027419077
287,0.00025862202,0.00022262144
288,0.00029735628,0.0002687354
289,0.0002980877,0.0002787086
290,0.0002857839,0.00028881867
291,0.0002803999,0.00021428833
292,0.00026149958,0.00026900624
293,0.00029218697,0.00021826489
294,0.0002655285,0.00025760036
295,0.00025245183,0.00027933373
296,0.000308009,0.00029443094
297,0.0002650882,0.00021816691
298,0.00028879504,0.00027298136
299,0.00029994725,0.00022052844
300,0.00024954966,0.0002605314
301,0.00026267348,0.000272447
302,0.0002672348,0.00028318856
303,0.00029711818,0.00021957907
304,0.0003164786,0.0002596364
305,0.00023316125,0.00021495558
306,0.0002518167,0.0002568023
307,0.00023694562,0.00027348896
308,0.00028476343,0.0002771938
309,0.00027015095,0.00020772034
310,0.0002755124,0.00025565326
311,0.000257591,0.0002071534
312,0.00022274962,0.00025607098
313,0.000257766,0.0002628629
314,0.00027776338,0.00027165137
315,0.0002187023,0.00020314146
316,0.00026371336,0.00024944654
317,0.00024613642,0.00020745149
318,0.00027446754,0.00024141867
319,0.0002794107,0.00027325723
320,0.00024455134,0.00028436744
321,0.0002775496,0.00019196287
322,0.00025773948,0.00026142554
323,0.00025778209,0.00020703305
324,0.0002611513,0.00023955342
325,0.00024157837,0.00026227147
326,0.00032933205,0.00027310086
327,0.00026390844,0.0001954875
328,0.0002333804,0.0002479375
329,0.0002611725,0.0002003293
330,0.00025510084,0.00023267788
331,0.0002289491,0.0002528224
332,0.00023818646,0.0002622591
333,0.0002555003,0.00019838668
334,0.00024656137,0.00024031936
335,0.00020708908,0.00019683625
336,0.00025415275,0.00023374696
337,0.0002751749,0.00024540865
338,0.00023551047,0.00025276403
339,0.00023229075,0.00019492202
340,0.0002319273,0.00025572456
341,0.0002295013,0.00019611744
342,0.00020158308,0.00022774453
343,0.00021473433,0.0002552863
344,0.00025027938,0.0002605052
345,0.0002375631,0.0001810646
346,0.00022336363,0.00023159305
347,0.00022068167,0.0001940433
348,0.0002489321,0.00022007356
349,0.00022213116,0.00023952407
350,0.00022967339,0.0002445064
351,0.0002590091,0.00018934638
352,0.00023642617,0.00022627438
353,0.000253652,0.00019154034
354,0.00026143316,0.00021705811
355,0.00021320413,0.00023772652
356,0.0002483639,0.00024718296
357,0.0001977861,0.00018619685
358,0.0002577723,0.00022466572
359,0.00022186314,0.0001863076
360,0.00023599574,0.00021397491
361,0.00023911436,0.00023753301
362,0.00028724672,0.00023931518
363,0.00023727976,0.00018157046
364,0.00025695094,0.00022646866
365,0.00021724383,0.00018585932
366,0.00021149447,0.0002074791
367,0.00019707366,0.00023913429
368,0.00024773137,0.00024747063
369,0.00024157952,0.00017535758
370,0.00022936719,0.00022118032
371,0.00017841256,0.00018547961
372,0.00020888128,0.0002059273
373,0.00019357596,0.0002310747
374,0.00020900492,0.00023577061
375,0.00023017282,0.00018729916
376,0.00020559214,0.00021980827
377,0.00023775052,0.00018654438
378,0.00022723536,0.00020085313
379,0.00021160195,0.00022365131
380,0.00024073797,0.00023895354
381,0.00019885771,0.00018162333
382,0.00021827126,0.00021604153
383,0.000240531,0.00017908597
384,0.00021386919,0.00019788243
385,0.00021268592,0.00021959431
386,0.00020918924,0.00022928216
387,0.00020583451,0.00017559405
388,0.00022195351,0.00021732693
389,0.00020195288,0.00017692949
390,0.00020579176,0.00019435649
391,0.00021565298,0.00022551607
392,0.00021089296,0.00023166242
393,0.0002274255,0.00017042665
394,0.00022581714,0.00022096714
395,0.00018324632,0.000176393
396,0.00020219822,0.00019371705
397,0.00021769594,0.00022861066
398,0.00025066885,0.00022957503
399,0.00019573909,0.0001691317
400,0.00021585407,0.0002068205
401,0.00018834033,0.00017312988
402,0.00019053293,0.00018802249
403,0.000183169,0.00021285951
404,0.00023655295,0.00022647178
405,0.00021470577,0.00017380764
406,0.00020775863,0.00020282296
407,0.0002362966,0.00018011463
408,0.0001858463,0.00018744894
409,0.00021504167,0.00021242382
410,0.00019486972,0.00021441861
411,0.00023878049,0.00016742779
412,0.00020265306,0.00021072617
413,0.00020214936,0.0001691176
414,0.00021555975,0.0001839371
415,0.0001750911,0.00022105026
416,0.00021564914,0.00022204565
417,0.0002157407,0.00015968442
418,0.0001968091,0.00020463014
419,0.00020840543,0.0001689014
420,0.00021324692,0.00017742808
421,0.00024552504,0.00020995318
422,0.0001879577,0.00021034687
423,0.00022433483,0.00016539748
424,0.000191567,0.00019887785
425,0.00022074893,0.00016702426
426,0.00016716291,0.00017851323
427,0.00020951606,0.00021333528
428,0.00020396245,0.0002166376
429,0.00018529787,0.00016687086
430,0.00017892024,0.00019939993
431,0.00021901578,0.00016489807
432,0.00022704643,0.0001746012
433,0.00015948998,0.00020617175
434,0.0002209359,0.0002004751
435,0.00019781334,0.00016609523
436,0.00019461894,0.00019416375
437,0.00021638942,0.00016444028
438,0.00020873104,0.00016883155
439,0.00017860837,0.00020019485
440,0.00017797042,0.00020837049
441,0.00017993528,0.00016003598
442,0.00020264166,0.00019325734
443,0.00021083844,0.00016511875
444,0.00019721218,0.00016837413
445,0.0001578019,0.00019776668
446,0.00020729174,0.0002057177
447,0.00021325832,0.00016278555
448,0.00022253323,0.00018760297
449,0.00020068248,0.00016440416
450,0.0001788691,0.00016997597
451,0.00020172467,0.00020235564
452,0.00018768627,0.00020265319
453,0.00018771098,0.00016556126
454,0.00018928955,0.0001902466
455,0.00023234003,0.00015852555
456,0.00017185773,0.00016457227
457,0.00018550736,0.0001933835
458,0.0001922819,0.00019656621
459,0.00020331512,0.00015555945
460,0.00021387344,0.00018785428
461,0.00018210287,0.00015737995
462,0.00017403984,0.00016288679
463,0.00019789564,0.00019263623
464,0.00017155784,0.00020103139
465,0.00018261193,0.0001503837
466,0.00016481373,0.00018410767
467,0.00015186329,0.0001582567
468,0.00020502228,0.0001597178
469,0.00019990455,0.00019106427
470,0.00015482887,0.00019440016
471,0.00019751649,0.00015326776
472,0.00020546406,0.0001849706
473,0.00020813101,0.0001580407
474,0.00018556618,0.00015986068
475,0.00019870108,0.00018982544
476,0.00018000869,0.00020327014
477,0.00015532177,0.00015958262
478,0.0001953712,0.00018313815
479,0.00020674318,0.00015389027
