Row,Train Error,Validation Error
0,1.4671696,1.0545981
1,1.417552,1.4882896
2,1.2093881,1.2410263
3,0.9683422,0.7511096
4,0.7554291,0.857478
5,0.7773521,0.8777395
6,0.70986646,0.4524464
7,0.634017,0.56855255
8,0.5879472,0.6614571
9,0.559998,0.42987865
10,0.45827046,0.5381953
11,0.48535252,0.5087624
12,0.40507844,0.5144707
13,0.4089145,0.30163166
14,0.49393687,0.44264486
15,0.4454397,0.47364452
16,0.38549677,0.45073923
17,0.35000446,0.40246654
18,0.32481903,0.4359583
19,0.3770311,0.3258333
20,0.31676117,0.35797077
21,0.33507553,0.3734849
22,0.40453044,0.4014328
23,0.34575868,0.29438564
24,0.34038362,0.27288026
25,0.30919203,0.3799953
26,0.28472373,0.24884278
27,0.34207162,0.2735361
28,0.31079435,0.36178783
29,0.2930272,0.31862494
30,0.3185091,0.2550807
31,0.3017656,0.30387262
32,0.28057355,0.33814818
33,0.31956857,0.25305358
34,0.30125412,0.27163336
35,0.2839816,0.3327895
36,0.3156025,0.3119427
37,0.32157212,0.2481566
38,0.24451,0.30843678
39,0.23826452,0.30685538
40,0.23998013,0.233035
41,0.26692927,0.2571386
42,0.28669626,0.25241664
43,0.25646845,0.23985621
44,0.21316236,0.2157692
45,0.21852335,0.27580908
46,0.20120779,0.2299605
47,0.21259832,0.21526818
48,0.24783191,0.2226475
49,0.26804045,0.21192397
50,0.22622731,0.20269038
51,0.19879162,0.24530849
52,0.22369693,0.24090523
53,0.18416093,0.18554756
54,0.21568441,0.1957078
55,0.28290063,0.22994332
56,0.17656556,0.22742073
57,0.17121805,0.19969265
58,0.20299666,0.22306104
59,0.16591108,0.2149424
60,0.1686363,0.18156974
61,0.16113165,0.17637359
62,0.16245082,0.21128261
63,0.18513164,0.17701232
64,0.21994482,0.17493281
65,0.15203573,0.16134657
66,0.18484966,0.1935032
67,0.18064204,0.13787669
68,0.15176223,0.1488167
69,0.17922397,0.1873406
70,0.1424748,0.16211553
71,0.17848483,0.13646404
72,0.23977701,0.18407778
73,0.17313966,0.17846496
74,0.13421093,0.13387008
75,0.1672121,0.17228316
76,0.19518587,0.17636573
77,0.16712113,0.1552946
78,0.15707052,0.13011025
79,0.124370754,0.16447625
80,0.18829809,0.15608723
81,0.15517692,0.14938578
82,0.123337835,0.15904717
83,0.12166707,0.14713141
84,0.1503211,0.14827156
85,0.11868538,0.11240405
86,0.14998713,0.14908166
87,0.1104752,0.14071968
88,0.10991539,0.105378196
89,0.108199485,0.15588115
90,0.14134619,0.1352102
91,0.13743472,0.10273561
92,0.13668112,0.14869078
93,0.10405592,0.1411317
94,0.10164926,0.09528113
95,0.13208215,0.13817298
96,0.09944178,0.14158373
97,0.13281257,0.12901579
98,0.096777365,0.09535737
99,0.15972894,0.13206601
100,0.092676185,0.12289065
101,0.12597883,0.0909832
102,0.08776242,0.13204022
103,0.12462614,0.122892685
104,0.08648593,0.1179938
105,0.08565708,0.08602396
106,0.08185372,0.114999086
107,0.08558919,0.11454796
108,0.11981437,0.08035692
109,0.082699664,0.11966521
110,0.08074192,0.11069915
111,0.0786526,0.07748887
112,0.14323822,0.11376287
113,0.11172111,0.1135802
114,0.10759906,0.11093562
115,0.07540138,0.112196274
116,0.07138176,0.11028811
117,0.10601496,0.102777444
118,0.072435126,0.10291391
119,0.071862675,0.107228994
120,0.0680546,0.099864304
121,0.067799635,0.099061124
122,0.13395569,0.06653383
123,0.16620582,0.10022943
124,0.096955664,0.06110735
125,0.0638607,0.06155902
126,0.09608432,0.100013055
127,0.094925076,0.09331341
128,0.12902163,0.057587508
129,0.05877922,0.09719364
130,0.059183393,0.09519418
131,0.09124161,0.055123862
132,0.09028534,0.091964945
133,0.056138705,0.09011691
134,0.11992019,0.08836286
135,0.054776225,0.054786664
136,0.15220715,0.08737218
137,0.0858257,0.085454054
138,0.08431913,0.08399613
139,0.08424326,0.084682636
140,0.04825866,0.080614194
141,0.08010817,0.079346046
142,0.048057918,0.085133225
143,0.04556466,0.07930831
144,0.04584762,0.078425534
145,0.07817058,0.04283341
146,0.04368786,0.08115653
147,0.07645223,0.040051278
148,0.074943155,0.03944528
149,0.040692132,0.078429095
150,0.039865285,0.07476035
151,0.072794415,0.037581913
152,0.1710479,0.07299866
153,0.03916787,0.0737158
154,0.03784979,0.070083186
155,0.10328023,0.038801637
156,0.0690871,0.06977348
157,0.06816033,0.06860691
158,0.06828609,0.033650454
159,0.0664187,0.06961671
160,0.03256466,0.06660737
161,0.03193382,0.06513691
162,0.031410422,0.03109444
163,0.063842036,0.06354204
164,0.06318452,0.06301858
165,0.02885055,0.06340291
166,0.030151898,0.06314553
167,0.027426116,0.060567334
168,0.060388297,0.026665444
169,0.061451074,0.0608153
170,0.026792847,0.060164973
171,0.058729857,0.058796603
172,0.025375236,0.059198722
173,0.023725467,0.057839584
174,0.05691361,0.057031557
175,0.055750675,0.0562191
176,0.022642054,0.056530297
177,0.054726772,0.054385122
178,0.054843478,0.054498855
179,0.119770214,0.02078005
180,0.054105174,0.05390645
181,0.053272817,0.018612636
182,0.019331172,0.018796887
183,0.08478041,0.052933037
184,0.08406634,0.05141252
185,0.017909836,0.017037371
186,0.01712185,0.05132839
187,0.017010314,0.05083005
188,0.016335532,0.01604428
189,0.016008336,0.049227938
190,0.015944201,0.048666693
191,0.014707048,0.0476836
192,0.014662585,0.014609692
193,0.04706007,0.04733559
194,0.046558198,0.046392467
195,0.04614261,0.0465031
196,0.012753631,0.04579953
197,0.04560009,0.04553327
198,0.012009456,0.044942405
199,0.011831035,0.011146718
200,0.011045006,0.043742515
201,0.07709336,0.0439893
202,0.07654118,0.01001914
203,0.010138799,0.04366964
204,0.04278125,0.042706933
205,0.009404797,0.008777776
206,0.14110683,0.042333465
207,0.008943225,0.042046893
208,0.008512148,0.008018377
209,0.04075629,0.04128949
210,0.007826389,0.040952675
211,0.040751044,0.040332127
212,0.040115375,0.007297054
213,0.07300077,0.040368058
214,0.072420605,0.03955412
215,0.00664192,0.006476261
216,0.006377075,0.039747395
217,0.005684249,0.039097194
218,0.03865044,0.03885453
219,0.0713221,0.005435135
220,0.03833178,0.038149796
221,0.005142013,0.03800269
222,0.103761055,0.004585299
223,0.004335243,0.037925642
224,0.037301246,0.03728042
225,0.070222795,0.003947725
226,0.0699631,0.037329223
227,0.003814717,0.036938146
228,0.036679648,0.03640412
229,0.003615354,0.0365015
230,0.0361729,0.0363946
231,0.003246113,0.036143437
232,0.035777405,0.03604068
233,0.00279699,0.035868272
234,0.002730748,0.035498116
235,0.03543286,0.03567853
236,0.035229485,0.002362267
237,0.03529854,0.03541787
238,0.035245445,0.002052562
239,0.035071295,0.00184894
240,0.034805927,0.035231244
241,0.06775269,0.034922328
242,0.001868626,0.001689477
243,0.001663698,0.034726292
244,0.034503974,0.03464944
245,0.034369074,0.001413663
246,0.001287396,0.034531083
247,0.001393632,0.034194067
248,0.001321198,0.03422353
249,0.001210725,0.001197335
250,0.03401789,0.034148198
251,0.034021787,0.033941805
252,0.03390442,0.034039553
253,0.001089261,0.033826463
254,0.03373517,0.033825748
255,0.000858436,0.03374469
256,0.000972709,0.03377315
257,0.03371656,0.033553902
258,0.000818429,0.033728413
259,0.066551685,0.000673529
260,0.06665822,0.03366367
261,0.000686369,0.000582449
262,0.03355099,0.00052444
263,0.06641515,0.033599287
264,0.000583454,0.033644665
265,0.000702033,0.000514464
266,0.000607311,0.033566404
267,0.000522898,0.03347818
268,0.03351839,0.033514787
269,0.03350352,0.000710662
270,0.03360496,0.03348666
271,0.000687245,0.033528976
272,0.03351682,0.000629641
273,0.000524389,0.03365883
274,0.06635606,0.03344954
275,0.03352346,0.033408936
276,0.000556451,0.000568485
277,0.000597542,0.03340254
278,0.000534659,0.03341077
279,0.03340201,0.033460185
280,0.033404827,0.033475325
