Row,Train Error,Validation Error
0,7.014279,7.0855007
1,6.614905,6.6077175
2,6.248602,6.207676
3,5.90145,5.8393455
4,5.565001,5.574411
5,5.244025,5.2285905
6,4.9600725,4.93104
7,4.6677823,4.61927
8,4.4304843,4.430007
9,4.17179,4.1910725
10,3.9163496,3.8902206
11,3.722725,3.625141
12,3.4596925,3.397765
13,3.2940445,3.1656823
14,3.1049347,3.142841
15,2.8996587,2.9300318
16,2.6706023,2.7137597
17,2.5415967,2.5980587
18,2.386675,2.464427
19,2.2250028,2.3096282
20,2.0840719,2.0623658
21,1.9260807,1.9022214
22,1.7697469,1.7568405
23,1.6591414,1.6904256
24,1.5405341,1.5440463
25,1.4169523,1.4178665
26,1.3076439,1.3045464
27,1.2069684,1.1782665
28,1.0953916,1.103587
29,1.0076666,1.0217769
30,0.9367995,0.9022509
31,0.83691365,0.80101866
32,0.7804775,0.7174178
33,0.6955488,0.74150795
34,0.6355843,0.6419701
35,0.5598449,0.5821451
36,0.50382596,0.51604545
37,0.45703742,0.46328816
38,0.4016011,0.41861016
39,0.35345703,0.38006684
40,0.31317177,0.31014487
41,0.27370644,0.2723083
42,0.24666038,0.24571346
43,0.21239722,0.22502895
44,0.18130562,0.190529
45,0.15944996,0.16460171
46,0.1344305,0.12225217
47,0.12049839,0.108313195
48,0.10127474,0.085521765
49,0.08467802,0.07976043
50,0.07342055,0.07396415
51,0.06328084,0.05876746
52,0.05487194,0.046428997
53,0.048445147,0.050506666
54,0.039757553,0.04770998
55,0.035859592,0.041363433
56,0.031177364,0.020315615
57,0.025466943,0.018860579
58,0.02600452,0.016646339
59,0.021736972,0.015598918
60,0.019852139,0.023159167
61,0.019947866,0.02167155
62,0.016717074,0.02126747
63,0.015938649,0.022289312
64,0.012461535,0.020770222
65,0.013522037,0.020009588
66,0.017454587,0.011341863
67,0.013536824,0.0054498003
68,0.0112886885,0.0033059395
69,0.012229161,0.017355794
70,0.009560108,0.015511411
71,0.01191094,0.014741898
72,0.011596961,0.013093517
73,0.009769431,0.010535201
74,0.009354379,0.011666881
75,0.010442744,0.013445551
76,0.009583907,0.0025135335
77,0.009328529,0.0028018784
78,0.009130871,0.002852901
79,0.008268439,0.012126331
80,0.0077363458,0.011721363
81,0.006723416,0.011564723
82,0.0064736237,0.010311828
83,0.008219462,0.010938955
